Model,DPO3032
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.4,
Sample Interval,0.004,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,-0.02,2.578
Vertical Scale,2,0.5
Label,IN,OUT
TIME,CH1,CH2
6.800e-01,-0.1,2.748
6.840e-01,-0.02,2.748
6.880e-01,-0.02,2.708
6.920e-01,-0.1,2.808
6.960e-01,-0.02,2.748
7.000e-01,0.06,2.748
7.040e-01,-0.1,2.808
7.080e-01,-0.02,2.768
7.120e-01,-0.02,2.808
7.160e-01,-0.02,2.788
7.200e-01,0.06,2.808
7.240e-01,-0.02,2.828
7.280e-01,-0.02,2.768
7.320e-01,-0.1,2.808
7.360e-01,0.06,2.828
7.400e-01,-0.02,2.808
7.440e-01,-0.02,2.788
7.480e-01,-0.02,2.828
7.520e-01,-0.02,2.828
7.560e-01,-0.02,2.848
7.600e-01,0.06,2.828
7.640e-01,-0.1,2.828
7.680e-01,-0.1,2.828
7.720e-01,-0.1,2.828
7.760e-01,-0.02,2.828
7.800e-01,-0.02,2.848
7.840e-01,-0.02,2.888
7.880e-01,-0.02,2.808
7.920e-01,-0.02,2.848
7.960e-01,-0.1,2.868
8.000e-01,-0.1,2.888
8.040e-01,0.06,2.848
8.080e-01,-0.02,2.828
8.120e-01,-0.02,2.888
8.160e-01,-0.02,2.868
8.200e-01,-0.02,2.868
8.240e-01,0.06,2.888
8.280e-01,-0.02,2.868
8.320e-01,-0.02,2.908
8.360e-01,-0.02,2.908
8.400e-01,-0.02,2.888
8.440e-01,-0.02,2.928
8.480e-01,-0.02,2.888
8.520e-01,-0.02,2.928
8.560e-01,-0.1,2.868
8.600e-01,-0.02,2.908
8.640e-01,0.06,2.888
8.680e-01,0.06,2.948
8.720e-01,-0.02,2.888
8.760e-01,-0.02,2.888
8.800e-01,-0.02,2.908
8.840e-01,-0.02,2.888
8.880e-01,-0.02,2.888
8.920e-01,-0.1,2.928
8.960e-01,-0.02,2.928
9.000e-01,-0.02,2.968
9.040e-01,-0.02,2.928
9.080e-01,0.06,2.928
9.120e-01,-0.02,2.928
9.160e-01,-0.02,2.948
9.200e-01,-0.02,2.928
9.240e-01,-0.02,2.888
9.280e-01,-0.1,2.888
9.320e-01,-0.02,2.928
9.360e-01,0.06,2.948
9.400e-01,-0.02,2.968
9.440e-01,-0.02,2.928
9.480e-01,-0.02,2.928
9.520e-01,-0.02,2.928
9.560e-01,-0.02,2.928
9.600e-01,-0.02,2.928
9.640e-01,-0.02,2.928
9.680e-01,4.62,2.948
9.720e-01,4.78,2.948
9.760e-01,4.78,2.928
9.800e-01,4.7,2.928
9.840e-01,4.62,2.968
9.880e-01,4.7,2.968
