Model,DPO3032
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.4,
Sample Interval,0.004,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,-0.02,2.578
Vertical Scale,2,0.2
Label,IN,OUT
TIME,CH1,CH2
-1.720e-01,-0.02,2.894
-1.680e-01,-0.1,2.878
-1.640e-01,-0.1,2.894
-1.600e-01,0.06,2.878
-1.560e-01,-0.02,2.862
-1.520e-01,-0.02,2.862
-1.480e-01,-0.02,2.878
-1.440e-01,-0.1,2.846
-1.400e-01,-0.1,2.918
-1.360e-01,-0.02,2.83
-1.320e-01,-0.02,2.814
-1.280e-01,-0.02,2.838
-1.240e-01,-0.1,2.846
-1.200e-01,-0.02,2.79
-1.160e-01,-0.1,2.838
-1.120e-01,-0.02,2.822
-1.080e-01,-0.1,2.798
-1.040e-01,-0.02,2.806
-1.000e-01,-0.02,2.79
-9.600e-02,-0.02,2.79
-9.200e-02,-0.1,2.79
-8.800e-02,-0.1,2.798
-8.400e-02,-0.1,2.814
-8.000e-02,-0.02,2.742
-7.600e-02,-0.1,2.774
-7.200e-02,-0.02,2.75
-6.800e-02,-0.02,2.758
-6.400e-02,-0.02,2.742
-6.000e-02,-0.1,2.726
-5.600e-02,-0.02,2.718
-5.200e-02,-0.1,2.726
-4.800e-02,-0.1,2.718
-4.400e-02,-0.1,2.686
-4.000e-02,-0.02,2.718
-3.600e-02,0.06,2.702
-3.200e-02,-0.02,2.718
-2.800e-02,-0.02,2.694
-2.400e-02,-0.02,2.686
-2.000e-02,-0.1,2.694
-1.600e-02,-0.1,2.662
-1.200e-02,-0.02,2.67
-8.000e-03,-0.1,2.622
-4.000e-03,-0.1,2.654
1.749e-15,-0.02,2.638
4.000e-03,-0.02,2.598
8.000e-03,-0.02,2.63
1.200e-02,-0.02,2.622
1.600e-02,-0.1,2.622
2.000e-02,-0.1,2.606
2.400e-02,-0.02,2.606
2.800e-02,-0.02,2.606
3.200e-02,-0.02,2.574
3.600e-02,-0.02,2.574
4.000e-02,-0.1,2.574
4.400e-02,-0.1,2.542
4.800e-02,-0.02,2.558
5.200e-02,-0.02,2.526
5.600e-02,-0.02,2.518
6.000e-02,-0.1,2.51
6.400e-02,-0.02,2.494
6.800e-02,-0.02,2.518
7.200e-02,0.06,2.518
7.600e-02,-0.02,2.502
8.000e-02,-0.02,2.51
8.400e-02,-0.02,2.486
8.800e-02,-0.02,2.478
9.200e-02,0.06,2.47
9.600e-02,-0.02,2.462
1.000e-01,-0.02,2.478
1.040e-01,-0.02,2.438
1.080e-01,-0.02,2.446
1.120e-01,-0.02,2.454
1.160e-01,-0.02,2.422
1.200e-01,-0.02,2.422
1.240e-01,-0.02,2.422
1.280e-01,-0.02,2.422
1.320e-01,-0.02,2.414
1.360e-01,-0.02,2.39
1.400e-01,-0.02,2.414
1.440e-01,-0.02,2.382
1.480e-01,-0.02,2.39
1.520e-01,0.06,2.366
1.560e-01,-0.02,2.35
1.600e-01,-0.02,2.366
1.640e-01,-0.02,2.342
1.680e-01,-0.02,2.366
1.720e-01,-0.02,2.342
1.760e-01,-0.02,2.342
1.800e-01,-0.02,2.334
1.840e-01,-0.02,2.342
1.880e-01,0.06,2.334
1.920e-01,-0.02,2.334
1.960e-01,-0.02,2.334
2.000e-01,-0.02,2.31
2.040e-01,-0.02,2.31
2.080e-01,-0.02,2.302
2.120e-01,-0.02,2.318
2.160e-01,-0.02,2.294
2.200e-01,0.06,2.286
2.240e-01,-0.02,2.31
2.280e-01,-0.02,2.302
2.320e-01,-0.02,2.302
2.360e-01,-0.02,2.278
2.400e-01,-0.02,2.31
2.440e-01,-0.02,2.302
2.480e-01,-0.02,2.294
2.520e-01,-0.02,2.278
2.560e-01,0.06,2.262
2.600e-01,0.06,2.262
2.640e-01,0.06,2.254
2.680e-01,-0.02,2.278
2.720e-01,-0.02,2.27
2.760e-01,-0.02,2.294
2.800e-01,-0.1,2.278
2.840e-01,-0.18,2.254
2.880e-01,-0.1,2.278
2.920e-01,0.06,2.286
2.960e-01,0.06,2.262
3.000e-01,-0.02,2.246
3.040e-01,-0.02,2.254
3.080e-01,0.06,2.262
3.120e-01,-0.02,2.27
3.160e-01,-0.02,2.278
3.200e-01,-0.18,2.27
3.240e-01,-0.02,2.262
3.280e-01,0.14,2.238
3.320e-01,-0.02,2.262
3.360e-01,-0.02,2.238
3.400e-01,-0.18,2.254
3.440e-01,-0.02,2.238
3.480e-01,-0.02,2.23
3.520e-01,0.06,2.238
3.560e-01,-0.02,2.238
3.600e-01,0.06,2.246
3.640e-01,-0.02,2.262
3.680e-01,-0.02,2.246
3.720e-01,-0.02,2.238
3.760e-01,0.06,2.246
3.800e-01,-0.02,2.238
3.840e-01,-0.02,2.262
3.880e-01,-0.02,2.27
3.920e-01,0.06,2.278
3.960e-01,-0.1,2.254
4.000e-01,-0.1,2.278
4.040e-01,-0.02,2.27
4.080e-01,-0.02,2.27
4.120e-01,-0.02,2.278
4.160e-01,-0.02,2.262
4.200e-01,-0.02,2.254
4.240e-01,-0.02,2.27
4.280e-01,0.06,2.294
4.320e-01,-0.02,2.294
4.360e-01,-0.02,2.302
4.400e-01,-0.02,2.27
4.440e-01,-0.02,2.286
4.480e-01,-0.02,2.27
4.520e-01,-0.02,2.27
4.560e-01,-0.02,2.294
4.600e-01,-0.18,2.326
4.640e-01,-0.18,2.326
4.680e-01,-0.1,2.318
4.720e-01,-0.1,2.31
4.760e-01,-0.02,2.302
4.800e-01,-0.02,2.302
4.840e-01,-0.1,2.31
4.880e-01,-0.02,2.286
4.920e-01,-0.02,2.294
4.960e-01,-0.02,2.31
5.000e-01,-0.02,2.318
5.040e-01,-0.02,2.334
5.080e-01,-0.02,2.31
5.120e-01,-0.02,2.326
5.160e-01,-0.02,2.318
5.200e-01,-0.02,2.318
5.240e-01,-0.18,2.342
5.280e-01,-0.02,2.366
5.320e-01,-0.02,2.342
5.360e-01,-0.02,2.366
5.400e-01,0.06,2.366
5.440e-01,0.06,2.374
5.480e-01,-0.18,2.382
5.520e-01,-0.02,2.39
5.560e-01,-0.02,2.374
5.600e-01,-0.1,2.374
5.640e-01,-0.02,2.39
5.680e-01,0.06,2.414
5.720e-01,-0.02,2.422
5.760e-01,-0.02,2.43
5.800e-01,-0.02,2.39
5.840e-01,-0.02,2.438
5.880e-01,-0.02,2.422
5.920e-01,-0.02,2.43
5.960e-01,-0.1,2.438
6.000e-01,-0.1,2.462
6.040e-01,-0.02,2.47
6.080e-01,-0.02,2.454
6.120e-01,-0.02,2.478
6.160e-01,0.06,2.478
6.200e-01,-0.02,2.51
6.240e-01,-0.02,2.494
6.280e-01,-0.02,2.51
6.320e-01,-0.02,2.502
6.360e-01,-0.02,2.51
6.400e-01,-0.02,2.518
6.440e-01,-0.02,2.518
6.480e-01,-0.02,2.638
6.520e-01,-0.02,2.542
6.560e-01,-0.02,2.566
6.600e-01,-0.02,2.566
6.640e-01,-0.1,2.566
6.680e-01,-0.02,2.606
6.720e-01,-0.02,2.566
6.760e-01,-0.02,2.606
6.800e-01,-0.02,2.574
6.840e-01,-0.02,2.574
6.880e-01,-0.02,2.614
6.920e-01,-0.1,2.614
6.960e-01,-0.02,2.622
7.000e-01,0.06,2.622
7.040e-01,-0.02,2.622
7.080e-01,-0.02,2.662
7.120e-01,-0.02,2.646
7.160e-01,-0.02,2.646
7.200e-01,-0.1,2.654
7.240e-01,-0.1,2.662
7.280e-01,-0.1,2.694
7.320e-01,-0.02,2.686
7.360e-01,0.06,2.686
7.400e-01,-0.02,2.694
7.440e-01,-0.1,2.694
7.480e-01,-0.02,2.726
7.520e-01,-0.02,2.702
7.560e-01,-0.02,2.726
7.600e-01,-0.02,2.742
7.640e-01,-0.1,2.734
7.680e-01,0.06,2.75
7.720e-01,-0.02,2.742
7.760e-01,0.14,2.742
7.800e-01,0.14,2.726
7.840e-01,-0.02,2.758
7.880e-01,-0.1,2.766
7.920e-01,0.06,2.782
7.960e-01,-0.02,2.782
8.000e-01,-0.02,2.774
8.040e-01,-0.02,2.798
8.080e-01,-0.18,2.822
8.120e-01,-0.02,2.822
8.160e-01,-0.02,2.798
8.200e-01,-0.02,2.822
8.240e-01,-0.1,2.83
8.280e-01,-0.02,2.798
8.320e-01,-0.02,2.838
8.360e-01,-0.02,2.838
8.400e-01,-0.02,2.83
8.440e-01,-0.02,2.822
8.480e-01,-0.02,2.838
8.520e-01,-0.02,2.862
8.560e-01,-0.02,2.846
8.600e-01,-0.02,2.854
8.640e-01,-0.02,2.87
8.680e-01,-0.02,2.87
8.720e-01,-0.02,2.886
8.760e-01,0.06,2.87
8.800e-01,-0.02,2.886
8.840e-01,-0.02,2.918
8.880e-01,-0.1,2.902
8.920e-01,-0.02,2.878
8.960e-01,-0.02,2.886
9.000e-01,-0.1,2.894
9.040e-01,-0.02,2.886
9.080e-01,-0.02,2.87
9.120e-01,-0.1,2.942
9.160e-01,-0.02,2.91
9.200e-01,-0.02,2.926
9.240e-01,-0.02,2.91
9.280e-01,0.06,2.902
9.320e-01,4.54,2.918
9.360e-01,4.78,2.902
9.400e-01,4.62,2.918
9.440e-01,4.7,2.934
9.480e-01,4.62,2.918
9.520e-01,4.7,2.934
9.560e-01,4.62,2.934
9.600e-01,4.78,2.95
9.640e-01,4.7,2.942
9.680e-01,4.78,2.934
9.720e-01,4.86,2.934
9.760e-01,4.7,2.926
9.800e-01,4.62,2.942
9.840e-01,4.78,2.942
9.880e-01,4.54,2.918
9.920e-01,4.62,2.918
9.960e-01,4.78,2.95
1.000e+00,4.7,2.934
1.004e+00,4.54,2.91
1.008e+00,4.7,2.934
1.012e+00,4.54,2.934
1.016e+00,4.7,2.95
1.020e+00,4.7,2.91
1.024e+00,4.54,2.926
1.028e+00,-0.1,2.918
1.032e+00,-0.1,2.926
1.036e+00,-0.02,2.902
1.040e+00,-0.1,2.894
1.044e+00,-0.02,2.918
1.048e+00,-0.02,2.894
1.052e+00,-0.02,2.91
1.056e+00,-0.02,2.902
1.060e+00,-0.1,2.902
1.064e+00,-0.02,2.87
1.068e+00,-0.02,2.902
1.072e+00,-0.02,2.902
1.076e+00,-0.02,2.878
1.080e+00,-0.02,2.886
1.084e+00,-0.02,2.878
1.088e+00,-0.02,2.878
1.092e+00,0.06,2.918
1.096e+00,-0.02,2.902
1.100e+00,-0.02,2.846
1.104e+00,0.06,2.83
1.108e+00,-0.02,2.862
1.112e+00,-0.02,2.878
1.116e+00,0.06,2.83
1.120e+00,0.14,2.814
1.124e+00,-0.02,2.838
1.128e+00,0.06,2.846
1.132e+00,-0.02,2.822
1.136e+00,0.06,2.822
1.140e+00,-0.1,2.822
1.144e+00,-0.02,2.798
1.148e+00,-0.02,2.798
1.152e+00,0.06,2.798
1.156e+00,-0.1,2.806
1.160e+00,-0.02,2.782
1.164e+00,-0.02,2.814
1.168e+00,0.06,2.774
1.172e+00,-0.02,2.758
1.176e+00,-0.18,2.766
1.180e+00,-0.1,2.726
1.184e+00,-0.1,2.766
1.188e+00,-0.1,2.734
1.192e+00,-0.02,2.75
1.196e+00,-0.02,2.734
1.200e+00,-0.1,2.702
1.204e+00,-0.02,2.702
1.208e+00,-0.1,2.734
1.212e+00,-0.02,2.71
1.216e+00,-0.02,2.694
1.220e+00,-0.02,2.686
1.224e+00,-0.02,2.694
1.228e+00,-0.02,2.654
1.232e+00,-0.1,2.67
